NAME  O2_3727A+  O2_3727A+e  Ne3_3869A  Ne3_3869Ae  S2_4072A+  S2_4072A+e O3_4363A  O3_4363Ae O3_5007A  O3_5007Ae  N2_5755A  N2_5755Ae  He1r_5876A  He1r_5876Ae  S3_6312A S3_6312Ae N2_6584A  N2_6584Ae  He1r_6678A  He1r_6678Ae  Ar3_7136A Ar3_7136Ae O2_7325A+  O2_7325A+e  H1r_9015A  H1r_9015Ae  S3_9069A S3_9069Ae H1r_9229A  H1r_9229Ae  cHbeta S2_6731A S2_6731Ae S2_6716A S2_6716Ae DIST 
w_01       243.00       17.00      20.60        1.40       2.31       0.23      3.38     0.24    321.00      19.00      0.00       0.00       0.00        0.00     0.00      0.00     13.50       0.90       2.90        0.20      7.30       0.50       6.10        0.40      1.90       0.20    17.00      1.10      2.70       0.20   0.23    10.05      0.45    12.05      0.55 1.03
w_02       166.00       12.00      33.80        2.30       1.39       0.11      5.59     0.35    504.00      29.00      0.18       0.03      12.50        0.80     1.85      0.13      7.70       0.50       3.10        0.20      8.70       0.60       4.30        0.30      1.90       0.10    19.60      1.30      2.50       0.20   0.12     7.73      0.36     9.67      0.44 1.01
w_04       373.00       27.00       4.60        0.50       3.46       0.37      1.16     0.19    119.00       7.00      0.00       0.15      11.50        0.80     0.00      0.11     23.40       1.60       2.80        0.20      5.30       0.40       8.00        0.60      2.30       0.20    12.70      0.90      2.50       0.20   0.03    21.22      1.02    30.78      1.48 0.93
w_03       286.00       20.00      14.90        1.00       2.20       0.19      2.14     0.17    253.00      15.00      0.00       0.12      13.00        0.80     1.73      0.16     20.40       1.30       3.90        0.30      9.20       0.60       6.00        0.40      1.70       0.10    20.70      1.40      2.50       0.20   0.40    13.83      0.67    19.37      0.93 0.97
c_15       296.00       21.00      10.20        1.10       3.25       0.42      1.10     0.15    226.00      13.00      0.00       0.08      11.90        0.80     1.34      0.16     29.70       2.00       3.30        0.20      8.80       0.60       4.70        0.30      2.00       0.10    26.40      1.70      2.50       0.20   0.15    21.60      1.02    31.10      1.48 0.55
w_12       275.00       20.00      13.90        1.00       3.23       0.25      1.16     0.14    246.00      14.00      0.00       0.12      13.20        0.90     1.38      0.16     27.20       1.80       3.30        0.20      8.70       0.60       4.10        0.40      2.00       0.20    20.30      1.40      2.50       0.20   0.25    15.88      0.74    22.72      1.06 0.56
w_11       134.00       10.00      75.10        5.30       3.64       0.27      9.07     0.59    908.00      53.00      0.00       0.08       0.00        0.00     0.00      0.00     15.60       1.10       3.10        0.30     14.70       1.00       3.80        0.30      1.70       0.20    30.90      2.10      2.70       0.20   0.00    15.86      0.77    19.04      0.93 0.55
w_13       307.00       22.00       7.20        0.60       2.23       0.17      0.77     0.10    144.00       8.00      0.50       0.08      12.10        0.80     1.32      0.12     34.10       2.20       3.10        0.20      7.90       0.50       4.40        0.30      1.80       0.10    20.60      1.40      2.60       0.20   0.34    18.34      0.87    25.86      1.23 0.50
w_15       172.00       12.00      12.00        0.80       1.95       0.15      0.89     0.08    235.00      14.00      0.00       0.04      13.10        0.80     1.09      0.08     32.50       2.10       3.50        0.20     10.30       0.70       3.20        0.20      1.90       0.10    27.20      1.80      2.60       0.20   0.33    14.39      0.65    18.71      0.85 0.40
c2_13      180.00       13.00      13.10        0.90       1.13       0.09      0.91     0.07    236.00      14.00      0.23       0.02      11.00        0.70     1.11      0.08     19.20       1.30       3.00        0.20      9.50       0.60       2.20        0.20      1.70       0.10    26.50      1.70      2.60       0.20   0.72     7.00      0.34     9.30      0.46 0.36
