NAME  O2_3727A+  O2_3727A+e  Ne3_3869A  Ne3_3869Ae  S2_4072A+  S2_4072A+e O3_4363A  O3_4363Ae O3_5007A  O3_5007Ae  N2_5755A  N2_5755Ae  He1r_5876A  He1r_5876Ae  S3_6312A S3_6312Ae N2_6584A  N2_6584Ae  He1r_6678A  He1r_6678Ae  Ar3_7136A Ar3_7136Ae O2_7325A+  O2_7325A+e  H1r_9015A  H1r_9015Ae  S3_9069A S3_9069Ae H1r_9229A  H1r_9229Ae  cHbeta S2_6731A S2_6731Ae S2_6716A S2_6716Ae DIST 
c_13       258.00       19.00      10.00        0.70       2.74       0.26      1.11     0.18    201.00      12.00      0.00       0.07      11.50        0.80     1.34      0.12     29.30       1.90       3.50        0.20     10.70       0.70       5.60        0.40      2.20       0.20    23.80      1.60      2.50       0.20   0.20    17.34      0.83    24.46      1.17 0.41
c_10       262.00       19.00       0.00        0.20       2.80       0.25      0.00     0.11     30.00       2.00      0.37       0.09       8.60        0.60     0.73      0.07     54.10       3.50       2.50        0.20      4.60       0.30       2.80        0.20      2.10       0.10    22.00      1.40      2.60       0.20   0.17    29.84      1.40    42.66      2.00 0.27
c_07       246.00       18.00       3.90        0.30       2.06       0.38      0.00     0.21    119.00       7.00      0.63       0.08      13.10        0.90     1.04      0.09     40.20       2.60       2.90        0.20      6.70       0.40       2.80        0.20      1.80       0.10    21.20      1.40      2.60       0.20   0.43    15.43      0.74    22.07      1.06 0.33
c_12       248.00       18.00       8.10        0.60       1.78       0.12      0.75     0.06    181.00      11.00      0.40       0.03      11.60        0.80     1.40      0.10     41.10       2.70       3.80        0.20     12.10       0.80       4.70        0.30      2.00       0.10    29.60      1.90      2.60       0.20   0.17    17.55      0.80    24.05      1.10 0.38
c_08       185.00       13.00       2.60        0.20       2.22       0.19      0.00     0.11     92.00       5.00      0.57       0.11      12.50        0.80     1.10      0.10     58.10       3.80       3.50        0.20      9.00       0.60       3.00        0.20      1.90       0.10    28.10      1.80      2.60       0.20   0.43    19.92      0.95    28.08      1.35 0.20
c2_08      264.00       19.00       3.40        0.30       3.93       0.30      0.00     0.34     95.00       6.00      0.69       0.14      11.20        0.80     0.99      0.12     54.10       3.60       3.10        0.20      8.30       0.60       3.80        0.30      2.10       0.20    24.30      1.60      2.60       0.20   0.50    21.90      1.03    31.10      1.47 0.21
c2_06      213.00       15.00       6.60        0.50       1.29       0.09      0.59     0.05    192.00      11.00      0.34       0.04      13.60        0.90     1.32      0.11     27.60       1.80       3.30        0.20      8.80       0.60       2.30        0.20      1.90       0.10    27.30      1.80      2.60       0.20   0.28    11.23      0.53    16.07      0.77 0.31
w_14       259.00       18.00       4.60        0.30       2.10       0.17      0.00     0.10    118.00       7.00      0.41       0.06      11.10        0.70     1.26      0.10     46.80       3.10       3.60        0.20     10.60       0.70       5.20        0.40      1.60       0.10    25.90      1.70      2.60       0.30   0.13    23.64      1.12    33.56      1.58 0.41
c_03       192.00       14.00       6.80        0.50       2.17       0.26      0.61     0.05    165.00      10.00      0.25       0.03      15.00        1.00     0.95      0.07     23.30       1.50       3.80        0.20      6.30       0.40       2.10        0.10      2.00       0.10    23.10      1.50      2.60       0.20   0.24    12.59      0.58    18.01      0.82 0.34
c_04       146.00       10.00       9.90        0.70       1.15       0.09      0.71     0.06    227.00      13.00      0.28       0.03      12.80        0.80     1.15      0.08     23.90       1.60       3.60        0.20     10.80       0.70       2.30        0.20      1.90       0.10    28.60      1.90      2.50       0.20   0.33     8.58      0.39    11.42      0.51 0.18
c2_04      217.00       16.00       3.30        0.40       3.42       0.31      0.00     0.09    103.00       6.00      0.63       0.08       9.60        0.70     1.09      0.12     72.70       4.80       3.00        0.20     10.20       0.70       3.50        0.30      1.80       0.20    28.80      1.90      2.60       0.20   0.76    23.82      1.12    31.68      1.48 0.08
c_02       270.00       19.00       3.30        0.30       3.42       0.34      0.00     0.16     77.00       4.00      0.47       0.06      10.60        0.70     0.82      0.08     61.50       4.00       3.00        0.20      7.60       0.50       3.70        0.30      1.90       0.10    22.30      1.50      2.50       0.20   0.29    29.83      1.38    41.77      1.93 0.17
e_02       176.00       13.00       9.80        0.70       1.61       0.13      0.57     0.07    198.00      12.00      0.28       0.02      11.70        0.80     0.99      0.09     27.80       1.80       3.40        0.20     10.50       0.70       3.00        0.20      2.00       0.10    24.00      1.60      2.50       0.20   0.31    11.67      0.54    16.33      0.76 0.28
e_01       197.00       14.00       5.20        0.40       1.12       0.11      0.62     0.05    180.00      10.00      0.37       0.03      12.60        0.80     0.00      0.00     32.40       2.10       2.90        0.20      9.30       0.60       3.60        0.20      2.10       0.10    26.50      1.70      2.60       0.20   0.04    13.00      0.60    17.30      0.80 0.33
e_06       287.00       21.00       4.20        0.30       2.15       0.20      0.00     0.26    133.00       8.00      0.60       0.12      10.40        0.70     1.07      0.13     44.00       2.90       3.40        0.20     10.70       0.70       5.70        0.40      2.30       0.20    24.60      1.60      2.60       0.20   0.47    18.99      0.89    26.01      1.21 0.32
e_07       160.00       11.00      11.20        0.80       1.77       0.16      1.19     0.10    259.00      15.00      0.27       0.03      12.20        0.80     1.43      0.10     20.30       1.30       3.70        0.20     11.40       0.70       3.20        0.20      1.70       0.10    28.20      1.80      2.50       0.20   0.33     9.29      0.42    12.81      0.58 0.40
e_11       357.00       25.00       9.80        0.70       5.44       0.36      1.59     0.11    178.00      10.00      0.54       0.07      12.20        0.80     1.50      0.11     31.80       2.10       2.70        0.20      6.40       0.40       6.00        0.40      1.30       0.10    17.30      1.10      2.60       0.20   0.22    33.90      1.58    47.80      2.22 0.86
e_14       314.00       22.00      12.70        0.90       2.04       0.15      1.89     0.13    244.00      14.00      0.43       0.10      11.80        0.80     1.51      0.19     21.30       1.40       4.20        0.20      7.80       0.60       6.00        0.40      1.70       0.10    21.20      1.40      2.70       0.20   0.16    15.50      0.71    21.70      0.99 0.91
