BLND 3727.00A   15.     11.
Ne 3 3868.76A   32.     11.
H  1 4340.94A   36.      9.
BLND 4363.00A    0.      7.
He 2 4686.01A    0.      7.
H  1 4861.36A  100.      0.
O  3 5006.84A  516.     51.
He 1 5875.64A   16.      8.
H  1 6562.85A  365.     36.
N  2 6583.45A  266.     26.
Ar 3 7135.79A   32.      7.
BLND 7325.00A   20.     12.
